date,volume,open,high,low,close
2022-09-23,185000,15.9,16.05,15.65,15.75
2022-09-26,544000,15.7,15.7,14.65,14.65
2022-09-27,182000,14.9,14.9,14.55,14.9
2022-09-28,370000,14.95,15.1,14.2,14.2
2022-09-29,279000,14.4,14.7,14.3,14.6
2022-09-30,232000,14.35,14.75,14.05,14.7
2022-10-03,356000,14.6,15.15,14.5,15.1
2022-10-04,247000,15.3,15.4,15.1,15.1
2022-10-05,221000,15.4,15.45,15.2,15.3
2022-10-06,222000,15.35,15.4,15.15,15.3
2022-10-07,650000,15.15,15.15,14.85,15.0
2022-10-11,338000,14.95,14.95,14.45,14.45
2022-10-12,738000,14.4,14.45,13.85,14.05
2022-10-13,984000,13.9,14.0,12.8,12.9
2022-10-14,476000,13.3,13.4,13.1,13.35
2022-10-17,318000,13.0,13.65,13.0,13.65
2022-10-18,200000,13.75,14.0,13.65,13.8
2022-10-19,472000,13.8,14.3,13.8,14.1
2022-10-20,295000,14.05,14.35,13.8,14.3
2022-10-21,196000,14.2,14.4,14.1,14.35
2022-10-24,378000,14.45,14.7,14.45,14.6
2022-10-25,277000,14.6,14.7,14.5,14.65
2022-10-26,184000,14.7,14.7,14.4,14.55
2022-10-27,150000,14.55,14.65,14.45,14.6
2022-10-28,128000,14.6,14.6,14.4,14.4
2022-10-31,392000,14.55,14.9,14.4,14.9
2022-11-01,894000,14.95,15.7,14.8,15.65
2022-11-02,250000,15.7,15.75,15.55,15.7
2022-11-03,176000,15.65,15.7,15.45,15.7
2022-11-04,295000,15.65,15.8,15.5,15.8
2022-11-07,800000,15.95,16.35,15.95,16.35
2022-11-08,482000,16.4,16.45,16.2,16.25
2022-11-09,335000,16.3,16.5,16.25,16.5
2022-11-10,156000,16.45,16.5,16.25,16.5
2022-11-11,643000,16.65,16.95,16.2,16.2
2022-11-14,307000,16.2,16.4,16.2,16.4
2022-11-15,861000,16.5,16.9,16.5,16.9
2022-11-16,846000,16.9,17.0,16.4,16.7
2022-11-17,243000,16.65,16.8,16.55,16.65
2022-11-18,251000,16.65,16.65,16.4,16.4
2022-11-21,116000,16.35,16.4,16.25,16.3
2022-11-22,133000,16.25,16.4,16.25,16.25
2022-11-23,113000,16.3,16.4,16.2,16.3
2022-11-24,137000,16.3,16.3,16.15,16.3
2022-11-25,116000,16.3,16.45,16.15,16.3
2022-11-28,196000,16.25,16.3,16.1,16.3
2022-11-29,139000,16.2,16.45,16.15,16.45
2022-11-30,346000,16.5,16.65,16.45,16.65
2022-12-01,268000,16.7,16.8,16.55,16.6
2022-12-02,163000,16.6,16.65,16.45,16.5
2022-12-05,279000,16.5,16.65,16.45,16.55
2022-12-06,441000,16.25,16.6,16.2,16.25
2022-12-07,384000,16.25,16.35,15.8,15.9
2022-12-08,319000,15.5,16.1,15.5,16.05
2022-12-09,231000,16.1,16.15,15.95,16.1
2022-12-12,242000,16.15,16.15,15.9,16.05
2022-12-13,973000,16.1,16.7,16.0,16.55
2022-12-14,485000,16.6,16.8,16.5,16.65
2022-12-15,1221000,16.6,17.15,16.6,16.85
2022-12-16,548000,16.65,17.0,16.65,16.9
2022-12-19,319000,16.95,17.0,16.7,16.7
2022-12-20,458000,16.75,16.9,16.4,16.4
2022-12-21,2361000,16.45,17.45,16.45,17.25
2022-12-22,2374000,17.45,17.8,17.05,17.25
2022-12-23,499000,17.15,17.35,17.0,17.25
2022-12-26,222000,17.35,17.35,17.15,17.15
2022-12-27,438000,17.2,17.25,17.0,17.1
2022-12-28,420000,17.1,17.25,17.05,17.15
2022-12-29,441000,17.15,17.15,16.8,16.9
2022-12-30,382000,17.0,17.3,17.0,17.1
